quarter_cad_number,wall_material_code,year_build,floor,area,period_start_date,deal_price,price_per_sqm
78:10:0005212,Крупнопанельные,1968,5,89.0,2025-04-01,17600000.0,197752.80898876404
78:10:0005212,Крупнопанельные,1968,7,30.5,2025-04-01,6500000.0,213114.75409836066
78:10:0005212,Крупнопанельные,1968,8,31.4,2025-04-01,5300000.0,168789.80891719746
78:10:0005212,Монолитные,2004,3,121.9,2025-04-01,25750000.0,211238.72026251024
78:10:0005212,Кирпичные,1966,4,71.9,2025-04-01,11500000.0,159944.3671766342
78:10:0005212,Крупнопанельные,1968,1,29.1,2025-04-01,5650000.0,194158.07560137456
78:10:0005212,Крупнопанельные,1968,2,52.4,2025-04-01,9120000.0,174045.80152671755
78:10:0005212,Крупнопанельные,1968,4,74.7,2025-04-01,12500000.0,167336.01070950468
78:10:0005212,Крупнопанельные,1968,9,102.8,2025-04-01,14270000.0,138813.22957198444
78:10:0005212,Крупнопанельные,2005,7,68.5,2025-04-01,15000000.0,218978.10218978103
78:10:0005212,Кирпичные,1976,9,85.6,2025-04-01,18300000.0,213785.04672897197
78:10:0005212,Крупнопанельные,1967,1,45.4,2025-04-01,6100000.0,134361.23348017622
78:10:0005212,Крупнопанельные,1967,2,113.8,2025-04-01,4400000.0,38664.32337434095
78:10:0005212,Крупнопанельные,1967,3,90.1,2025-04-01,14265000.0,158324.08435072144
78:10:0005212,Крупнопанельные,1968,1,54.9,2025-04-01,8300000.0,151183.970856102
78:10:0005212,Крупнопанельные,1968,2,52.4,2025-04-01,3000000.0,57251.908396946565
78:10:0005212,Крупнопанельные,1968,6,58.4,2025-04-01,10200000.0,174657.53424657535
78:10:0005212,Крупнопанельные,1968,7,99.9,2025-04-01,14650000.0,146646.64664664664
78:10:0005212,Крупнопанельные,1968,8,52.6,2025-04-01,7400000.0,140684.41064638784
78:10:0005212,Крупнопанельные,2003,14,39.9,2025-04-01,8300000.0,208020.05012531328
78:10:0005224,Кирпичные,1972,2,100.2,2025-04-01,15000000.0,149700.5988023952
78:10:0005224,Кирпичные,1972,6,184.2,2025-04-01,1600000.0,8686.210640608035
78:10:0005224,Крупнопанельные,1967,2,31.2,2025-04-01,4950000.0,158653.84615384616
78:10:0005224,Крупнопанельные,1967,3,45.5,2025-04-01,5000000.0,109890.10989010989
78:10:0005224,Крупнопанельные,1967,4,40.9,2025-04-01,7100000.0,173594.13202933985
78:10:0005224,Крупнопанельные,1967,5,45.7,2025-04-01,5680000.0,124288.84026258205
78:10:0005224,Крупнопанельные,2005,13,37.7,2025-04-01,6800000.0,180371.35278514586
78:10:0005224,Крупнопанельные,2005,5,38.1,2025-04-01,6600000.0,173228.3464566929
78:10:0005224,Кирпичные,1987,2,112.6,2025-04-01,5200000.0,46181.17229129663
78:10:0005224,Кирпичные,1987,7,50.5,2025-04-01,9200000.0,182178.21782178216
78:10:0005224,Крупнопанельные,1967,1,45.1,2025-04-01,6470000.0,143458.9800443459
78:10:0005224,Крупнопанельные,1967,3,55.2,2025-04-01,3000000.0,54347.82608695652
78:10:0005225,Крупнопанельные,1967,3,44.1,2025-04-01,5900000.0,133786.84807256237
78:10:0005225,Крупнопанельные,1967,5,30.5,2025-04-01,3000000.0,98360.65573770492
78:10:0005225,Крупнопанельные,1968,4,44.2,2025-04-01,6200000.0,140271.49321266968
78:10:0005225,Кирпичные,1977,4,35.9,2025-04-01,6700000.0,186629.52646239556
78:10:0005225,Кирпичные,1977,5,31.3,2025-04-01,5317935.0,169902.07667731628
78:10:0005225,Кирпичные,1977,6,76.1,2025-04-01,11950000.0,157030.22339027596
78:10:0005225,Крупнопанельные,1967,3,76.5,2025-04-01,11250000.0,147058.82352941178
78:10:0005225,Крупнопанельные,1967,3,46.6,2025-04-01,3350000.0,71888.41201716739
78:10:0005225,Кирпичные,1969,2,54.4,2025-04-01,8800000.0,161764.70588235295
78:10:0005225,Крупнопанельные,1967,1,46.3,2025-04-01,6500000.0,140388.76889848814
78:10:0005225,Крупнопанельные,1967,4,46.3,2025-04-01,7300000.0,157667.38660907128
78:10:0522301,Крупнопанельные,1966,1,89.2,2025-04-01,12100000.0,135650.22421524662
78:10:0522301,Крупнопанельные,1966,2,44.9,2025-04-01,3000000.0,66815.144766147
78:10:0522301,Крупнопанельные,1966,4,44.3,2025-04-01,3000000.0,67720.09029345373
78:10:0522301,Крупнопанельные,1966,5,52.0,2025-04-01,100000.0,1923.076923076923
78:10:0522301,Крупнопанельные,1967,2,43.7,2025-04-01,6400000.0,146453.08924485126
78:10:0522301,Крупнопанельные,1967,4,44.1,2025-04-01,6700000.0,151927.43764172334
78:10:0522301,Крупнопанельные,1967,5,44.4,2025-04-01,5900000.0,132882.8828828829
78:10:0522301,Крупнопанельные,1966,1,29.3,2025-04-01,5100000.0,174061.43344709897
78:10:0522301,Крупнопанельные,1966,4,44.7,2025-04-01,6000000.0,134228.1879194631
78:10:0522301,Крупнопанельные,1966,5,169.7,2025-04-01,17435500.0,102743.07601649972
78:10:0522301,Крупнопанельные,1967,2,44.2,2025-04-01,6200000.0,140271.49321266968
78:10:0522301,Крупнопанельные,1967,2,44.3,2025-04-01,5900000.0,133182.84424379232
78:10:0522301,Крупнопанельные,1967,4,44.2,2025-04-01,6850000.0,154977.37556561086
78:10:0005203,Кирпичные,1965,3,46.5,2025-07-01,9400000.0,202150.5376344086
78:10:0005203,Крупнопанельные,1964,4,30.7,2025-07-01,4800000.0,156351.79153094464
78:10:0005203,Крупнопанельные,1964,5,58.2,2025-07-01,7500000.0,128865.97938144329
78:10:0005203,Кирпичные,1953,3,76.4,2025-07-01,11300000.0,147905.75916230364
78:10:0005203,Кирпичные,1960,1,31.2,2025-07-01,5280000.0,169230.76923076925
78:10:0005203,Кирпичные,1960,4,41.7,2025-07-01,8200000.0,196642.68585131894
78:10:0005203,Кирпичные,1987,10,126.3,2025-07-01,25000000.0,197941.40934283452
78:10:0005203,Кирпичные,1987,8,48.7,2025-07-01,7800000.0,160164.27104722793
78:10:0005203,Крупнопанельные,2000,5,103.5,2025-07-01,12500000.0,120772.94685990339
78:10:0005208,Кирпичные,1981,4,35.2,2025-07-01,7140000.0,202840.9090909091
78:10:0005208,Кирпичные,1981,6,35.3,2025-07-01,8000000.0,226628.895184136
78:10:0005208,Кирпичные,1981,8,46.1,2025-07-01,8500000.0,184381.7787418655
78:10:0005208,Кирпичные,2001,9,119.8,2025-07-01,35000000.0,292153.5893155259
78:10:0005209,Кирпичные,1963,1,86.8,2025-07-01,5750000.0,66244.2396313364
78:10:0005209,Кирпичные,1963,2,120.1,2025-07-01,19400000.0,161532.05661948377
78:10:0005209,Кирпичные,1963,3,63.5,2025-07-01,11350000.0,178740.15748031496
78:10:0005209,Кирпичные,1963,5,31.4,2025-07-01,6650000.0,211783.43949044586
78:10:0005209,Кирпичные,1964,1,91.1,2025-07-01,12700000.0,139407.2447859495
78:10:0005209,Кирпичные,1964,3,77.9,2025-07-01,14850000.0,190629.01155327342
78:10:0005209,Кирпичные,1964,4,47.7,2025-07-01,12000000.0,251572.32704402515
78:10:0005209,Кирпичные,1965,7,43.8,2025-07-01,8300000.0,189497.71689497717
78:10:0005209,Кирпичные,1965,8,42.3,2025-07-01,8700000.0,205673.75886524824
78:10:0005209,Кирпичные,1968,2,58.9,2025-07-01,8700000.0,147707.97962648558
78:10:0005209,Кирпичные,1968,4,47.3,2025-07-01,9750000.0,206131.07822410148
78:10:0005209,Кирпичные,1968,6,81.4,2025-07-01,12500000.0,153562.65356265355
78:10:0005209,Кирпичные,1963,2,45.1,2025-07-01,7200000.0,159645.23281596453
78:10:0005209,Кирпичные,1963,4,56.7,2025-07-01,8300000.0,146384.47971781305
78:10:0005209,Кирпичные,1965,5,60.1,2025-07-01,9600000.0,159733.77703826956
78:10:0005209,Кирпичные,1969,4,35.4,2025-07-01,7400000.0,209039.54802259887
78:10:0005209,Кирпичные,1963,1,201.6,2025-07-01,29070000.0,144196.42857142858
78:10:0005209,Кирпичные,1963,2,31.6,2025-07-01,6700000.0,212025.3164556962
78:10:0005209,Кирпичные,1963,4,31.3,2025-07-01,6770000.0,216293.92971246006
78:10:0005209,Кирпичные,1964,3,28.3,2025-07-01,4735000.0,167314.48763250883
78:10:0005209,Кирпичные,1966,5,58.8,2025-07-01,12150000.0,206632.6530612245
78:10:0005209,Кирпичные,1966,7,34.9,2025-07-01,7300000.0,209169.05444126076
78:10:0005209,Кирпичные,1966,8,58.4,2025-07-01,10300000.0,176369.86301369863
78:10:0005209,Кирпичные,1966,9,59.8,2025-07-01,10100000.0,168896.32107023412
78:10:0005209,Кирпичные,1968,11,35.4,2025-07-01,6500000.0,183615.81920903956
78:10:0005209,Кирпичные,1968,3,50.8,2025-07-01,10100000.0,198818.89763779528
78:10:0005209,Кирпичные,1968,7,79.9,2025-07-01,14500000.0,181476.84605757197
78:10:0005209,Кирпичные,1968,9,46.5,2025-07-01,8500000.0,182795.69892473117
78:10:0005209,Кирпичные,1973,9,41.6,2025-07-01,7500000.0,180288.46153846153
78:10:0005209,Кирпичные,1975,2,37.8,2025-07-01,7200000.0,190476.1904761905
78:10:0005209,Кирпичные,1964,9,48.2,2025-07-01,7000000.0,145228.21576763486
78:10:0005217,Кирпичные,1966,2,46.2,2025-07-01,1000000.0,21645.021645021643
78:10:0005217,Кирпичные,1966,6,49.5,2025-07-01,8900000.0,179797.9797979798
78:10:0005217,Кирпичные,1966,8,35.3,2025-07-01,5600000.0,158640.2266288952
78:10:0005217,Крупнопанельные,1965,1,133.4,2025-07-01,9200000.0,68965.5172413793
78:10:0005217,Крупнопанельные,1965,2,58.7,2025-07-01,5400000.0,91993.18568994889
78:10:0005217,Крупнопанельные,1965,3,44.6,2025-07-01,7550000.0,169282.5112107623
78:10:0005217,Крупнопанельные,1965,4,75.9,2025-07-01,6400000.0,84321.47562582344
78:10:0005217,Крупнопанельные,1965,5,145.8,2025-07-01,21130000.0,144924.55418381342
78:10:0005217,Крупнопанельные,1965,6,58.2,2025-07-01,8000000.0,137457.04467353952
78:10:0005217,Крупнопанельные,1966,1,31.0,2025-07-01,5300000.0,170967.74193548388
78:10:0005217,Крупнопанельные,1966,2,50.3,2025-07-01,6350000.0,126242.54473161034
78:10:0005217,Крупнопанельные,1966,7,58.7,2025-07-01,8000000.0,136286.2010221465
78:10:0005217,Крупнопанельные,1966,9,51.1,2025-07-01,6300000.0,123287.6712328767
78:10:0005217,Крупнопанельные,1970,6,31.1,2025-07-01,6100000.0,196141.47909967846
78:10:0005217,Крупнопанельные,1970,7,31.6,2025-07-01,5675000.0,179588.6075949367
78:10:0005217,Крупнопанельные,1971,3,50.6,2025-07-01,7100000.0,140316.20553359683
78:10:0005217,Крупнопанельные,1971,6,30.5,2025-07-01,6300000.0,206557.37704918033
78:10:0005217,Шлакобетонные,1965,3,55.4,2025-07-01,3200000.0,57761.73285198556
78:10:0005217,Кирпичные,1966,7,34.7,2025-07-01,6700000.0,193083.57348703168
78:10:0005217,Кирпичные;Каркасно-панельные,1970,2,45.1,2025-07-01,7550000.0,167405.76496674056
78:10:0005217,Кирпичные;Каркасно-панельные,1970,3,30.5,2025-07-01,6000000.0,196721.31147540984
78:10:0005217,Кирпичные;Каркасно-панельные,1970,5,49.2,2025-07-01,7200000.0,146341.46341463414
78:10:0005217,Кирпичные;Каркасно-панельные,1970,7,31.1,2025-07-01,5700000.0,183279.74276527332
78:10:0005217,Крупнопанельные,1965,1,146.9,2025-07-01,16500000.0,112321.3070115725
78:10:0005217,Крупнопанельные,1965,5,97.7,2025-07-01,14977601.33,153301.95834186283
78:10:0005217,Крупнопанельные,1969,3,80.5,2025-07-01,13500000.0,167701.86335403725
78:10:0005217,Крупнопанельные,1969,4,45.4,2025-07-01,7027223.0,154784.64757709252
78:10:0005217,Крупнопанельные,1969,7,31.0,2025-07-01,5700000.0,183870.96774193548
