quarter_cad_number;street;wall_material_code;year_build;floor;area;period_start_date;deal_price;price_per_sqm
78:10:0005218;Науки;Кирпичные;1968;7;56.70000001;01.04.2025;4550000;80246.91
78:10:0005218;Науки;Кирпичные;1970;12;45.80000001;01.04.2025;8000000;174672.49
78:10:0005218;Верности;Кирпичные;1966;5;34.40000001;01.07.2025;7300000;212209.30
78:10:0005218;Верности;Кирпичные;1966;7;50.70000001;01.07.2025;10000000;197238.66
78:10:0005218;Верности;Кирпичные;1966;9;80.30000001;01.07.2025;14500000;180572.85
78:10:0005218;Верности;Кирпичные;1967;1;32.20000001;01.07.2025;4850000;150621.12
78:10:0005218;Науки;Кирпичные;1968;4;47.50000001;01.07.2025;7900000;166315.79
78:10:0005218;Науки;Кирпичные;1968;6;46.00000001;01.07.2025;7400000;160869.57
78:10:0005218;Науки;Кирпичные;1969;11;48.80000001;01.07.2025;10000000;204918.03
78:10:0005218;Науки;Кирпичные;1969;6;47.40000001;01.07.2025;9450000;199367.09
78:10:0005218;Науки;Кирпичные;1969;8;35.80000001;01.07.2025;8550000;238826.82
78:10:0005204;Гражданский;Кирпичные;1977;6;55.30000001;01.04.2024;9000000;162748.64
78:10:0005204;Гражданский;Кирпичные;1977;3;83.90000001;01.04.2024;10400000;123957.09
78:10:0005204;Гражданский;Кирпичные;1977;1;31.60000001;01.07.2024;5900000;186708.86
78:10:0005204;Гражданский;Кирпичные;1977;11;31.50000001;01.10.2024;6425000;203968.25
78:10:0005204;Гражданский;Кирпичные;1977;7;33.60000001;01.04.2025;1700000;50595.24
78:10:0005203;Гражданский;Кирпичные;1965;5;50.60000001;01.01.2024;7900000;156126.48
78:10:0005203;Гражданский;Кирпичные;1961;3;30.00000001;01.04.2024;6000000;200000.00
78:10:0005203;Гражданский;Кирпичные;1959;4;56.90000001;01.07.2024;9600000;168717.05
78:10:0005203;Непокоренных;Кирпичные;1960;2;30.70000001;01.07.2024;5800000;188925.08
78:10:0005203;Непокоренных;Кирпичные;1960;4;54.70000001;01.07.2024;7000000;127970.75
78:10:0005203;Гражданский;Кирпичные;1959;5;47.80000001;01.10.2024;8300000;173640.17
78:10:0005203;Гражданский;Кирпичные;1965;6;33.30000001;01.10.2024;5500000;165165.17
78:10:0005203;Непокоренных;Кирпичные;1960;3;41.80000001;01.01.2025;6300000;150717.70
78:10:0005203;Гражданский;Кирпичные;1965;8;56.50000001;01.04.2025;8000000;141592.92
78:10:0005203;Гражданский;Кирпичные;1965;3;46.50000001;01.07.2025;9400000;202150.54
78:10:0005203;Непокоренных;Кирпичные;1960;1;31.20000001;01.07.2025;5280000;169230.77
78:10:0005203;Непокоренных;Кирпичные;1960;4;41.70000001;01.07.2025;8200000;196642.69
