quarter_cad_number;street;wall_material_code;year_build;floor;area;period_start_date;deal_price;price_per_sqm
78:10:0005209;Верности;Кирпичные;1965;3;60.00000001;01.04.2024;9500000.0;158333.33
78:10:0005209;Гражданский;Кирпичные;1966;4;34.00000001;01.04.2024;6900000.0;202941.18
78:10:0005209;Гражданский;Кирпичные;1966;7;31.50000001;01.04.2024;6500000.0;206349.21
78:10:0005209;Бутлерова;Кирпичные;1963;4;131.60000001;01.04.2024;23070000.0;175303.95
78:10:0005209;Гражданский;Кирпичные;1969;5;70.80000001;01.04.2024;14200000.0;200564.97
78:10:0005209;Бутлерова;Кирпичные;1965;4;30.90000001;01.04.2024;6400000.0;207119.74
78:10:0005209;Гражданский;Кирпичные;1968;3;28.00000001;01.04.2024;7200000.0;257142.86
78:10:0005209;Гражданский;Кирпичные;1966;9;32.50000001;01.04.2024;6100000.0;187692.31
78:10:0005209;Верности;Кирпичные;1964;7;52.20000001;01.04.2024;8800000.0;168582.38
78:10:0005209;Бутлерова;Кирпичные;1964;9;52.40000001;01.04.2024;7500000.0;143129.77
78:10:0005209;Фаворского;Кирпичные;1965;4;37.70000001;01.04.2024;7000000.0;185676.39
78:10:0005209;Верности;Кирпичные;1965;2;57.60000001;01.04.2024;9600000.0;166666.67
78:10:0005209;Верности;Кирпичные;1963;3;56.00000001;01.04.2024;9600000.0;171428.57
78:10:0005209;Гражданский;Кирпичные;1968;12;104.80000001;01.04.2024;18000000.0;171755.73
78:10:0005209;Гражданский;Кирпичные;1964;2;28.50000001;01.04.2024;5250000.0;184210.53
78:10:0005209;Верности;Кирпичные;1965;7;31.80000001;01.04.2024;6900000.0;216981.13
78:10:0005209;Фаворского;Кирпичные;1964;4;47.80000001;01.04.2024;7750000.0;162133.89
78:10:0005209;Гражданский;Кирпичные;1964;3;56.10000001;01.04.2024;10700000.0;190730.84
78:10:0005209;Гражданский;Кирпичные;1969;9;46.30000001;01.04.2024;9150000.0;197624.19
78:10:0005209;Фаворского;Кирпичные;1965;6;29.80000001;01.04.2024;5400000.0;181208.05
78:10:0005209;Гражданский;Кирпичные;1963;5;302.20000001;01.07.2024;39450000.0;130542.69
