number;okato;region_code;district;city;quarter_cad_number;street;realestate_type_code;wall_material_code;year_build;floor;purpose_code;area;period_start_date;deal_price;currency;doc_type;price_per_sqm
1;40288565000;78;;;78:07:0314302;Пионерская;Помещения;Кирпичные;1894;2;Жилое помещение;125.500001;45839;6500000;рубль;ДКП;51792.8282725671
1;40288563000;78;;;78:07:0003028;Петроградская;Помещения;Кирпичные;1896;2;Жилое помещение;81.200001;45839;24660000;рубль;ДКП;303694.577540707
1;40288565000;78;;;78:07:0003148;Пионерская;Помещения;Кирпичные;1896;2;Жилое помещение;118.600001;45839;5000000;рубль;ДКП;42158.515664768
1;40288561000;78;;;78:07:0003019;Добролюбова;Помещения;Кирпичные;1898;3;Жилое помещение;204.900001;45839;7050000;рубль;ДКП;34407.027650527
2;40288561000;78;;;78:07:0003019;Добролюбова;Помещения;Кирпичные;1898;4;Жилое помещение;416.400001;45839;13700000;рубль;ДКП;32901.0565972597
1;40288561000;78;;;78:07:0003045;Блохина;Помещения;Кирпичные;1898;3;Жилое помещение;54.700001;45839;12000000;рубль;ДКП;219378.42377736
1;40288561000;78;;;78:07:0003066;Зверинская;Помещения;Кирпичные;1898;2;Жилое помещение;61.400001;45839;14100000;рубль;ДКП;229641.690070982
1;40288561000;78;;;78:07:0003066;Зверинская;Помещения;Кирпичные;1898;5;Жилое помещение;68.300001;45839;17600000;рубль;ДКП;257686.672654661
1;40288562000;78;;;78:07:0003033;Мира;Помещения;Кирпичные;1898;5;Жилое помещение;93.600001;45839;120000000;рубль;ДКП;1282051.26835415
1;40288562000;78;;;78:07:0003069;Малая Пушкарская;Помещения;Кирпичные;1898;3;Жилое помещение;45.000001;45839;15200000;рубль;ДКП;337777.770271605
1;40288562000;78;;;78:07:0003086;Большой П.С.;Помещения;Кирпичные;1898;4;Жилое помещение;191.800001;45839;4600000;рубль;ДКП;23983.3158290755
1;40288566000;78;;;78:07:0003200;Большая Зеленина;Помещения;Кирпичные;1898;2;Жилое помещение;72.000001;45839;2700000;рубль;ДКП;37499.9994791667
1;40288564000;78;;;78:07:0003109;Ленина;Помещения;Кирпичные;1899;2;Жилое помещение;115.900001;45839;1380000;рубль;ДКП;11906.8161181465
1;40288564000;78;;;78:07:0003114;Большой П.С.;Помещения;Кирпичные;1899;3;Жилое помещение;122.600001;45839;2150000;рубль;ДКП;17536.704587792
1;40288565000;78;;;78:07:0003100;Рыбацкая;Помещения;Кирпичные;1899;6;Жилое помещение;105.600001;45839;3150000;рубль;ДКП;29829.5451720687
1;40288565000;78;;;78:07:0003108;Ленина;Помещения;Кирпичные;1899;4;Жилое помещение;130.800001;45839;25500000;рубль;ДКП;194954.126949892
1;40288565000;78;;;78:07:0003137;Гатчинская;Помещения;Кирпичные;1899;3;Жилое помещение;56.300001;45839;13000000;рубль;ДКП;230905.857355136
1;40288565000;78;;;78:07:0003140;Большая Зеленина;Помещения;Кирпичные;1899;5;Жилое помещение;78.300001;45839;2300000;рубль;ДКП;29374.2014128455
1;40288566000;78;;;78:07:0003201;Барочная;Помещения;Кирпичные;1899;3;Жилое помещение;107.200001;45839;4890000;рубль;ДКП;45615.6712162717
